number;department;section;name;full_name;char;type;doc_diff;status;date_pub;papers
;51;;20380.51.26695;Извещение об изменении;;Извещение об изменении;20380.360203.502;;16.07.2021;А4 - 2
;51;;20380.360203.502;;а3;Спецификация;;;16.07.2021;
;51;;20380.51.26748;Извещение об изменении;;Извещение об изменении;20380.360067.427;;27.07.2021;А4 - 1
;51;;20380.360067.427;;а1;График расчетов;;;27.07.2021;
;51;;20380.51.26862;Извещение об изменении;;Извещение об изменении;20380-691.00-515;;04.08.2021;А4 - 1
;51;;20380-691.00-515;Ведомость маркировки электрооборудования сигнально-отличительных огней, средств связи, трансляции, навигации, спецтехники и гидроакустики;а9;Ведомость маркировки;;;04.08.2021;
;51;;20380.51.26865;Извещение об изменении;;Извещение об изменении;20380-788.00-576Э4;;16.08.2021;А4 - 1
;51;;20380-788.00-576Э4;Изделие МУС-МФ РЛК-20380 Схема электрическая соединений;2;Схема электрическая соединений (монтажная);;;16.08.2021;
;51;;20380.51.26998;Извещение об изменении;;Извещение об изменении;20380-786.02-538,20380-786.02-538ТБ;;07.09.2021;А4 - 2
;51;;20380-786.02-538;Расположение приборов и оборудования в помещении постов РТВ;а5;Чертеж расположения оборудования;;;07.09.2021;
;51;;20380-786.02-538ТБ;Расположение приборов и оборудования в помещении постов РТВ;а5;Таблица;;;07.09.2021;
;51;;20380.51.26999;Извещение об изменении;;Извещение об изменении;20380-788.00-573Э4;;22.09.2021;А3 - 1, А4 - 1
;51;;20380-788.00-573Э4;Изделие РЛК-S-5П-27М/МФ РЛК-20380 Схема электрическая соединений;4;Схема электрическая соединений (монтажная);;;22.09.2021;
;51;;20380.51.27011;Извещение об изменении;;Извещение об изменении;20380-788.00-572Э4;;15.09.2021;А4 - 2
;51;;20380-788.00-572Э4;Изделие МТК-201М2.2. Схема электрическая соединений;4;Схема электрическая соединений (монтажная);;;15.09.2021;
;51;;20380.51.27016;Извещение об изменении;;Извещение об изменении;20380-788.00-514Э4;;07.09.2021;А4 - 1
;51;;20380-788.00-514Э4;Изделие РЛС-X-МФ РЛК-20380 Схема электрическая соединений;4;Схема электрическая соединений (монтажная);;;07.09.2021;
;51;;20380.51.27017;Извещение об изменении;;Извещение об изменении;20380-671.00-517ТЭ4;;22.09.2021;А4 - 1
;51;;20380-671.00-517ТЭ4;Комплекс П-409. Связь громкоговорящая. Таблица соединений;1;Таблица соединений схемы электрической (монтажной);;;22.09.2021;
;51;;20380.51.27059;Извещение об изменении;;Извещение об изменении;20380.360087.101-01ТО3;;21.09.2021;А4 - 1
;51;;20380.360087.101-01ТО3;;а2;Техническое описание;;;21.09.2021;
;51;;20380.51.27068;Извещение об изменении;;Извещение об изменении;20380-788.00-563Э4;;13.10.2021;А3 - 1, А4 - 1
;51;;20380-788.00-563Э4;Комплекс ОНЦ-МФ РЛК-20380. Схема электрическая соединений;3;Схема электрическая соединений (монтажная);;;13.10.2021;
;51;;20380.51.27112;Извещение об изменении;;Извещение об изменении;20380-788.00-576Э4;;12.10.2021;А4 - 1
;51;;20380-788.00-576Э4;Изделие МУС-МФ РЛК-20380 Схема электрическая соединений;3;Схема электрическая соединений (монтажная);;;12.10.2021;
;52;;20380.52.25803;Извещение об изменении;;Извещение об изменении;20380-686.06-523,20380-686.06-523СБ;;21.01.2021;А4 - 3
;52;;20380-686.06-523;Установка электрооборудования и прокладка кабелей с их креплениями на наружн.поверхностях ангара и помещ. газоходов №2.;а1;Спецификация;;;21.01.2021;
;52;;20380-686.06-523СБ;Установка электрооборудования и прокладка кабелей с их креплениями на наружн.поверхностях ангара и помещ. газоходов №2.;а2;Сборочный чертеж;;;21.01.2021;
;52;;20380.52.25926;Извещение об изменении;;Извещение об изменении;20380-686.06-511СБ,20380-686.06-512СБ,20380-686.06-514СБ,20380-686.06-515СБ,20380-686.06-516СБ;;28.01.2021;А4 - 2
;52;;20380-686.06-511СБ;Установка электрооборудования и прокладка кабелей с их креплениями в СКП-ЗКП;а2;Сборочный чертеж;;;28.01.2021;
;52;;20380-686.06-512СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Помещении дежурного по кораблю. Сборочный чертеж;а2;Сборочный чертеж;;;28.01.2021;
;52;;20380-686.06-514СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Шахте приема воздуха КМО №2, Шахте приема воздуха КМО №4, Швартовной палубе №4, Помещении приема воздуха КМО №2;а2;Сборочный чертеж;;;28.01.2021;
;52;;20380-686.06-515СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Трансляционном посту. Сборочный чертёж;а2;Сборочный чертеж;;;28.01.2021;
;52;;20380-686.06-516СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Помещении ЛАК, Кладовой ЛАК, Аппаратной ССС;а2;Сборочный чертеж;;;28.01.2021;
;52;;20380.52.25944;Извещение об изменении;;Извещение об изменении;20380-686.06-521,20380-686.06-521СБ,20380-686.06-522,20380-686.06-522СБ,20380-686.06-525СБ,20380-686.06-527СБ;;28.01.2021;А4 - 6
;52;;20380-686.06-521;Установка электрооборудования и прокладка кабелей с их креплениями на кормовой стенке барбета АК-630М №1, посту приема жидких грузов №1, наружной стенке надстройки I-II яр.ПрБ, палубе и внутренних стенках фальшборты I яр. надстройки 77-94шп.ПрБ;а1;Спецификация;;;28.01.2021;
;52;;20380-686.06-521СБ;Установка электрооборудования и прокладка кабелей с их креплениями на кормовой стенке барбета АК-630М №1, посту приема жидких грузов №1, наружной стенке надстройки I-II яр.ПрБ, палубе и внутренних стенках фальшборты I яр. надстройки 77-94шп.ПрБ. Сборочный;а2;Сборочный чертеж;;;28.01.2021;
;52;;20380-686.06-522;Установка электрооборудования и прокладка кабелей с их креплениями на кормовой стенке барбета АК-630М №2, посту приема жидких грузов №2, наружной стенке надстройки I-II яр.ЛБ, палубе и внутренних стенках фальшборты I яр. надстройки 77-94шп.ЛБ;а1;Спецификация;;;28.01.2021;
;52;;20380-686.06-522СБ;Установка электрооборудования и прокладка кабелей с их креплениями на кормовой стенке барбета АК-630М №2, посту приема жидких грузов №2, наружной стенке надстройки I-II яр.ЛБ, палубе и внутренних стенках фальшборты I яр. надстройки 77-94шп.ЛБ;а2;Сборочный чертеж;;;28.01.2021;
